utterance_id,senti_3,senti_3_final,senti_6,senti_6_final,match_senti_3,match_senti_6
ParlaMint-ES_2018-06-19-CD180619.u112,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2018-06-26-CD180626.u39,Positive,Positive,Mixed Positive,Mixed Positive,True,True
ParlaMint-ES_2018-06-26-CD180626.u83,Neutral,Positive,Neutral Negative,Mixed Positive,False,False
ParlaMint-ES_2018-06-26-CD180626.u93,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2018-06-27-CD180627.u93,Neutral,Negative,Neutral Negative,Negative,False,False
ParlaMint-ES_2018-06-28-CD180628.u52,Neutral,Positive,Neutral Positive,Mixed Positive,False,False
ParlaMint-ES_2018-07-17-CD180717.u56,Neutral,Negative,Neutral Negative,Mixed Negative,False,False
ParlaMint-ES_2018-07-17-CD180717.u68,Neutral,Positive,Neutral Positive,Mixed Positive,False,False
ParlaMint-ES_2018-09-06-CD180906.u98,Negative,Negative,Negative,Negative,True,True
ParlaMint-ES_2018-09-11-CD180911.u51,Neutral,Positive,Neutral Negative,Mixed Positive,False,False
ParlaMint-ES_2018-09-18-CD180918.u123,Neutral,Neutral,Neutral Negative,Neutral Negative,True,True
ParlaMint-ES_2018-09-18-CD180918.u170,Neutral,Neutral,Neutral Negative,Neutral Positive,True,False
ParlaMint-ES_2018-09-18-CD180918.u83,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2018-09-25-CD180925.u76,Neutral,Positive,Neutral Negative,Mixed Positive,False,False
ParlaMint-ES_2018-09-26-CD180926.u156,Neutral,Negative,Neutral Negative,Mixed Negative,False,False
ParlaMint-ES_2018-10-16-CD181016.u43,Neutral,Negative,Neutral Negative,Mixed Negative,False,False
ParlaMint-ES_2018-10-16-CD181016.u7,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2018-10-16-CD181016.u76,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2018-10-17-CD181017.u206,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2018-10-18-CD181018.u52,Positive,Positive,Mixed Positive,Positive,True,False
ParlaMint-ES_2018-10-23-CD181023.u6,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2018-11-13-CD181113.u106,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2018-11-14-CD181114.u151,Neutral,Negative,Neutral Positive,Mixed Negative,False,False
ParlaMint-ES_2018-11-14-CD181114.u90,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2018-11-21-CD181121.u197,Positive,Positive,Mixed Positive,Mixed Positive,True,True
ParlaMint-ES_2018-11-21-CD181121.u204,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2018-12-11-CD181211.u69,Positive,Neutral,Mixed Positive,Neutral Positive,False,False
ParlaMint-ES_2018-12-12-CD181212.u149,Negative,Negative,Negative,Negative,True,True
ParlaMint-ES_2018-12-12-CD181212.u293,Neutral,Neutral,Neutral Negative,Neutral Positive,True,False
ParlaMint-ES_2018-12-13-CD181213.u12,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2019-02-20-CD190220.u130,Neutral,Positive,Neutral Negative,Mixed Positive,False,False
ParlaMint-ES_2019-02-21-CD190221.u138,Negative,Negative,Negative,Mixed Negative,True,False
ParlaMint-ES_2019-02-28-CD190228.u58,Neutral,Positive,Neutral Positive,Mixed Positive,False,False
ParlaMint-ES_2019-09-10-CD190910.u31,Neutral,Negative,Neutral Negative,Mixed Negative,False,False
ParlaMint-ES_2019-09-17-CD190917.u86,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2019-09-18-CD190918.u133,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2020-01-05-CD200105.u68,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2020-01-05-CD200105.u76,Neutral,Negative,Neutral Negative,Mixed Negative,False,False
ParlaMint-ES_2020-02-11-CD200211.u104,Neutral,Positive,Neutral Positive,Mixed Positive,False,False
ParlaMint-ES_2020-02-11-CD200211.u86,Neutral,Positive,Neutral Negative,Mixed Positive,False,False
ParlaMint-ES_2020-02-20-CD200220.u8,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2020-03-25-CD200325.u129,Neutral,Negative,Neutral Negative,Mixed Negative,False,False
ParlaMint-ES_2020-04-22-CD200422.u211,Neutral,Neutral,Neutral Negative,Neutral Negative,True,True
ParlaMint-ES_2020-05-13-CD200513.u141,Negative,Negative,Negative,Negative,True,True
ParlaMint-ES_2020-05-13-CD200513.u6,Positive,Positive,Mixed Positive,Positive,True,False
ParlaMint-ES_2020-05-20-CD200520.u190,Neutral,Neutral,Neutral Positive,Neutral Positive,True,True
ParlaMint-ES_2020-05-27-CD200527.u201,Neutral,Positive,Neutral Positive,Mixed Positive,False,False
ParlaMint-ES_2020-06-03-CD200603.u52,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2020-06-11-CD200611.u33,Neutral,Neutral,Neutral Positive,Neutral Positive,True,True
ParlaMint-ES_2020-06-11-CD200611.u35,Negative,Negative,Negative,Negative,True,True
ParlaMint-ES_2020-06-17-CD200617.u25,Neutral,Positive,Neutral Negative,Mixed Positive,False,False
ParlaMint-ES_2020-06-23-CD200623.u78,Neutral,Positive,Neutral Negative,Mixed Positive,False,False
ParlaMint-ES_2020-06-24-CD200624.u109,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2020-06-24-CD200624.u127,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2020-07-29-CD200729.u76,Negative,Negative,Negative,Mixed Negative,True,False
ParlaMint-ES_2020-09-23-CD200923.u176,Negative,Neutral,Negative,Neutral Negative,False,False
ParlaMint-ES_2020-10-20-CD201020.u26,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2020-10-22-CD201022.u16,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2020-10-28-CD201028.u134,Positive,Neutral,Mixed Positive,Neutral Positive,False,False
ParlaMint-ES_2020-10-28-CD201028.u6,Neutral,Neutral,Neutral Positive,Neutral Positive,True,True
ParlaMint-ES_2020-10-29-CD201029.u97,Neutral,Positive,Neutral Positive,Mixed Positive,False,False
ParlaMint-ES_2020-11-17-CD201117.u133,Neutral,Negative,Neutral Negative,Mixed Negative,False,False
ParlaMint-ES_2020-11-17-CD201117.u35,Neutral,Negative,Neutral Negative,Mixed Negative,False,False
ParlaMint-ES_2020-11-18-CD201118.u66,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2020-12-01-CD201201.u73,Neutral,Positive,Neutral Positive,Mixed Positive,False,False
ParlaMint-ES_2020-12-01-CD201201.u77,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2020-12-03-CD201203.u35,Neutral,Negative,Neutral Negative,Mixed Negative,False,False
ParlaMint-ES_2021-01-28-CD210128.u148,Neutral,Negative,Neutral Negative,Mixed Negative,False,False
ParlaMint-ES_2021-02-02-CD210202.u100,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2021-02-23-CD210223.u97,Neutral,Positive,Neutral Positive,Mixed Positive,False,False
ParlaMint-ES_2021-03-24-CD210324.u107,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2021-03-24-CD210324.u58,Positive,Neutral,Positive,Neutral Positive,False,False
ParlaMint-ES_2021-04-13-CD210413.u18,Neutral,Negative,Neutral Negative,Mixed Negative,False,False
ParlaMint-ES_2021-04-20-CD210420.u17,Positive,Neutral,Positive,Neutral Positive,False,False
ParlaMint-ES_2021-05-12-CD210512.u25,Neutral,Neutral,Neutral Negative,Neutral Positive,True,False
ParlaMint-ES_2021-05-12-CD210512.u83,Neutral,Negative,Neutral Negative,Negative,False,False
ParlaMint-ES_2021-05-19-CD210519.u111,Positive,Neutral,Mixed Positive,Neutral Positive,False,False
ParlaMint-ES_2021-05-19-CD210519.u97,Negative,Negative,Negative,Negative,True,True
ParlaMint-ES_2021-05-20-CD210520.u131,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2021-05-20-CD210520.u224,Neutral,Negative,Neutral Positive,Mixed Negative,False,False
ParlaMint-ES_2021-05-26-CD210526.u153,Neutral,Negative,Neutral Negative,Mixed Negative,False,False
ParlaMint-ES_2021-06-09-CD210609.u37,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2021-06-09-CD210609.u64,Neutral,Neutral,Neutral Positive,Neutral Negative,True,False
ParlaMint-ES_2021-06-15-CD210615.u51,Neutral,Negative,Neutral Positive,Mixed Negative,False,False
ParlaMint-ES_2021-06-16-CD210616.u12,Neutral,Negative,Neutral Negative,Mixed Negative,False,False
ParlaMint-ES_2021-06-16-CD210616.u56,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2021-06-16-CD210616.u67,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2021-09-14-CD210914.u114,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2021-09-15-CD210915.u54,Neutral,Positive,Neutral Negative,Mixed Positive,False,False
ParlaMint-ES_2021-09-28-CD210928.u136,Neutral,Negative,Neutral Negative,Mixed Negative,False,False
ParlaMint-ES_2021-09-29-CD210929.u112,Neutral,Neutral,Neutral Positive,Neutral Positive,True,True
ParlaMint-ES_2021-09-29-CD210929.u48,Neutral,Positive,Neutral Negative,Mixed Positive,False,False
ParlaMint-ES_2021-10-13-CD211013.u69,Neutral,Neutral,Neutral Positive,Neutral Negative,True,False
ParlaMint-ES_2021-10-14-CD211014.u24,Negative,Neutral,Mixed Negative,Neutral Negative,False,False
ParlaMint-ES_2021-10-19-CD211019.u98,Neutral,Negative,Neutral Negative,Mixed Negative,False,False
ParlaMint-ES_2021-10-20-CD211020.u103,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2021-10-20-CD211020.u14,Negative,Negative,Negative,Negative,True,True
ParlaMint-ES_2021-10-20-CD211020.u34,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2021-11-03-CD211103.u49,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2021-12-14-CD211214.u151,Negative,Neutral,Mixed Negative,Neutral Negative,False,False
ParlaMint-ES_2021-12-16-CD211216.u23,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2021-12-16-CD211216.u52,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2022-02-01-CD220201.u162,Neutral,Negative,Neutral Negative,Mixed Negative,False,False
ParlaMint-ES_2022-02-01-CD220201.u164,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2022-02-02-CD220202.u226,Neutral,Negative,Neutral Negative,Mixed Negative,False,False
ParlaMint-ES_2022-02-02-CD220202.u82,Neutral,Positive,Neutral Negative,Mixed Positive,False,False
ParlaMint-ES_2022-02-03-CD220203.u164,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2022-02-03-CD220203.u25,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2022-02-16-CD220216.u122,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2022-03-08-CD220308.u61,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2022-03-09-CD220309.u128,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2022-06-23-CD220623.u72,Positive,Positive,Mixed Positive,Mixed Positive,True,True
ParlaMint-ES_2022-06-29-CD220629.u123,Negative,Negative,Negative,Negative,True,True
ParlaMint-ES_2022-06-29-CD220629.u181,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2022-06-29-CD220629.u67,Neutral,Negative,Neutral Negative,Mixed Negative,False,False
ParlaMint-ES_2022-06-30-CD220630.u37,Positive,Positive,Mixed Positive,Mixed Positive,True,True
ParlaMint-ES_2022-07-13-CD220713.u135,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2022-07-13-CD220713.u149,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2022-07-14-CD220714.u227,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2022-08-25-CD220825.u40,Neutral,Negative,Neutral Negative,Mixed Negative,False,False
ParlaMint-ES_2022-09-13-CD220913.u34,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2022-09-14-CD220914.u56,Negative,Neutral,Mixed Negative,Neutral Negative,False,False
ParlaMint-ES_2022-09-14-CD220914.u95,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2022-09-20-CD220920.u42,Neutral,Neutral,Neutral Negative,Neutral Negative,True,True
ParlaMint-ES_2022-09-22-CD220922.u55,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2022-09-22-CD220922.u75,Negative,Negative,Mixed Negative,Mixed Negative,True,True
ParlaMint-ES_2022-09-27-CD220927.u27,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2022-09-28-CD220928.u114,Neutral,Negative,Neutral Negative,Mixed Negative,False,False
ParlaMint-ES_2022-09-28-CD220928.u130,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2022-10-05-CD221005.u214,Negative,Negative,Negative,Negative,True,True
ParlaMint-ES_2022-11-21-CD221121.u59,Neutral,Negative,Neutral Negative,Mixed Negative,False,False
ParlaMint-ES_2022-11-23-CD221123.u27,Negative,Negative,Mixed Negative,Negative,True,False
ParlaMint-ES_2022-11-24-CD221124.u91,Positive,Positive,Mixed Positive,Mixed Positive,True,True
ParlaMint-ES_2022-12-14-CD221214.u82,Neutral,Neutral,Neutral Positive,Neutral Positive,True,True
ParlaMint-ES_2022-12-21-CD221221.u311,Neutral,Positive,Neutral Positive,Mixed Positive,False,False
ParlaMint-ES_2022-12-21-CD221221.u363,Neutral,Neutral,Neutral Positive,Neutral Positive,True,True
