topic,label,description,model,prompt_version,date,reviewed_by
35,Aforamientos y estatutos de autonomía,"Murcia, aforamientos, reformas estatutarias, Cantabria y Aragón.",asistente OpenCode,labels_v1,2026-09-14,
36,Voto exterior (CERA) y reforma electoral,"Voto rogado de residentes en el exterior y ley electoral; términos ruidosos («dieciséis», nombres propios) por revisar.",asistente OpenCode,labels_v1,2026-09-14,
37,Despoblación y mundo rural,"Reto demográfico, Teruel, municipios y zonas rurales.",asistente OpenCode,labels_v1,2026-09-14,
38,Aborto e interrupción del embarazo,"Ley del aborto, clínicas, plazos y derechos sexuales y reproductivos.",asistente OpenCode,labels_v1,2026-09-14,
39,RTVE y televisión pública,"Corporación RTVE, informativos, concursos y medios públicos.",asistente OpenCode,labels_v1,2026-09-14,
40,Proceso penal e instrucción,"Enjuiciamiento criminal, plazos de instrucción, artículo 324 y justicia universal.",asistente OpenCode,labels_v1,2026-09-14,
41,Fuerzas Armadas y defensa,"Ejército, tropa, armamento, polígono de Bardenas y programas especiales.",asistente OpenCode,labels_v1,2026-09-14,
42,Enmiendas transaccionales,Negociación y aceptación de enmiendas en ponencia; tópico procedimental.,asistente OpenCode,labels_v1,2026-09-14,
43,Cuestiones de orden y alusiones (arts. 71-72),"Intervenciones «por alusiones», decoro y dignidad de la Cámara conforme al Reglamento del Congreso (no la Constitución); tópico procedimental.",asistente OpenCode,labels_v1,2026-09-14,
44,"Monarquía, Corona e injurias al Rey","Delitos de injurias, símbolos, Corona y debates sobre la jefatura del Estado.",asistente OpenCode,labels_v1,2026-09-14,
45,Dependencia y servicios sociales,"Ley de dependencia, personas mayores, soledad, copago y prestaciones.",asistente OpenCode,labels_v1,2026-09-14,
46,Recursos de inconstitucionalidad y estatutos,"Tribunal Constitucional, leyes orgánicas, recursos y estatutos de autonomía.",asistente OpenCode,labels_v1,2026-09-14,
47,Discapacidad y accesibilidad,"Convención internacional, CERMI, accesibilidad cognitiva e inclusión.",asistente OpenCode,labels_v1,2026-09-14,
48,Indultos y delitos de sedición,"Indulto, Tribunal Supremo, condenados y utilidad pública.",asistente OpenCode,labels_v1,2026-09-14,
49,Autónomos y cotizaciones,"RETA, cotización por ingresos reales y trabajadores autónomos.",asistente OpenCode,labels_v1,2026-09-14,
50,Ingreso mínimo vital y exclusión social,"Pobreza, rentas mínimas, prestaciones y Seguridad Social.",asistente OpenCode,labels_v1,2026-09-14,
51,Prisión permanente revisable,"Código Penal, terrorismo, cadena perpetua y penas.",asistente OpenCode,labels_v1,2026-09-14,
52,"Consumo, juego y adicciones","Apuestas, cannabis, alcohol, tabaco y publicidad.",asistente OpenCode,labels_v1,2026-09-14,
53,Empleo juvenil y garantía juvenil,"Paro juvenil, jóvenes, oportunidades y desempleo.",asistente OpenCode,labels_v1,2026-09-14,
54,"Brexit, Gibraltar y comercio internacional","Reino Unido, Gibraltar, CETA, UE y relaciones comerciales.",asistente OpenCode,labels_v1,2026-09-14,
55,Bienestar animal,"Maltrato, animales de compañía, Código Civil y protección animal.",asistente OpenCode,labels_v1,2026-09-14,
56,Guerra de Ucrania,"Rusia, Putin, OTAN, invasión, paz y refugiados ucranianos.",asistente OpenCode,labels_v1,2026-09-14,
57,"Salud mental, enfermedades raras y donación","Suicidio, trasplantes, médula y enfermedades raras.",asistente OpenCode,labels_v1,2026-09-14,
